C,Penalty,Loss,Precision,Recall,F1 Score,Training Time,Prediction Time,Accuracy
0.127,l1,,0.8642302594205643,0.9057352649335185,0.8844961240310077,0.9798808097839355,0.0008509159088134766,0.8808
0.128,l1,,0.8645063483039606,0.9053383607858703,0.8844513377278015,0.7909607887268066,0.0007822513580322266,0.8808
0.129,l1,,0.8645576813790491,0.9057352649335185,0.8846675712347354,1.0273518562316895,0.0031790733337402344,0.881
0.13,l1,,0.865049279757392,0.9057352649335185,0.8849248666989821,0.8326621055603027,0.0008060932159423828,0.8813
0.131,l1,,0.8651877133105802,0.9055368128596943,0.8849025501793852,0.725898027420044,0.0007841587066650391,0.8813
0.132,l1,,0.8657056145675266,0.9057352649335185,0.8852681602172437,0.9676432609558105,0.0009770393371582031,0.8817
0.133,l1,,0.8659207282381945,0.9061321690811669,0.8855702094647012,0.672661304473877,0.0008418560028076172,0.882
0.134,l1,,0.8658698539176627,0.9057352649335185,0.8853540252182347,1.0017590522766113,0.0008220672607421875,0.8818
0.135,l1,,0.8658444022770398,0.9055368128596943,0.8852459016393444,0.815910816192627,0.0007929801940917969,0.8817
0.136,l1,,0.8660087303093567,0.9055368128596943,0.8853317811408614,0.852668046951294,0.0007770061492919922,0.8818
0.137,l1,,0.8662239089184061,0.9059337170073427,0.8856339121156271,0.7788851261138916,0.0008609294891357422,0.8821
0.138,l1,,0.866198519643196,0.9057352649335185,0.8855258051998448,1.0588150024414062,0.0007810592651367188,0.882
0.139,l1,,0.8664136622390892,0.9061321690811669,0.8858279173537685,1.0120832920074463,0.0008540153503417969,0.8823
0.14,l1,,0.8664136622390892,0.9061321690811669,0.8858279173537685,0.9113469123840332,0.000823974609375,0.8823
0.141,l1,,0.8664136622390892,0.9061321690811669,0.8858279173537685,0.9144001007080078,0.0008149147033691406,0.8823
0.142,l1,,0.8666034155597723,0.9063306211549911,0.8860219225919099,0.8529908657073975,0.00078582763671875,0.8825
0.143,l1,,0.866439005881237,0.9063306211549911,0.8859359844810863,0.8793001174926758,0.00084686279296875,0.8824
0.144,l1,,0.866578098310875,0.9061321690811669,0.8859138533178115,0.8043398857116699,0.000843048095703125,0.8824
0.145,l1,,0.8662239089184061,0.9059337170073427,0.8856339121156271,0.7158160209655762,0.0008220672607421875,0.8821
0.146,l1,,0.8662239089184061,0.9059337170073427,0.8856339121156271,0.9700639247894287,0.0008082389831542969,0.8821
0.147,l1,,0.8662239089184061,0.9059337170073427,0.8856339121156271,0.8906869888305664,0.0008559226989746094,0.8821
0.148,l1,,0.8662239089184061,0.9059337170073427,0.8856339121156271,0.9448459148406982,0.0007870197296142578,0.8821
0.149,l1,,0.866198519643196,0.9057352649335185,0.8855258051998448,0.9388768672943115,0.0008311271667480469,0.882
0.15,l1,,0.8665527714502658,0.9059337170073427,0.8858057630736393,0.8762402534484863,0.0007791519165039062,0.8823
0.151,l1,,0.8664136622390892,0.9061321690811669,0.8858279173537685,0.8724892139434814,0.000782012939453125,0.8823
0.152,l1,,0.8663883089770354,0.9059337170073427,0.8857198292588281,0.9799821376800537,0.0008540153503417969,0.8822
